iter	Passed	Remaining
401	15959	23740
402	15997	23698
403	16036	23657
404	16074	23615
405	16112	23573
406	16151	23532
407	16188	23489
408	16226	23447
409	16264	23405
410	16301	23362
411	16340	23320
412	16378	23278
413	16417	23238
414	16456	23197
415	16494	23156
416	16533	23114
417	16570	23071
418	16608	23030
419	16646	22988
420	16684	22946
421	16722	22904
422	16759	22861
423	16797	22819
424	16834	22776
425	16872	22733
426	16911	22694
427	16950	22653
428	16989	22612
429	17026	22569
430	17064	22528
431	17102	22486
432	17140	22445
433	17179	22404
434	17217	22362
435	17254	22319
436	17292	22278
437	17330	22236
438	17367	22194
439	17407	22154
440	17447	22115
441	17486	22075
442	17526	22036
443	17564	21995
444	17604	21956
445	17644	21916
446	17685	21878
447	17724	21839
448	17763	21798
449	17803	21759
450	17843	21720
451	17882	21680
452	17924	21643
453	17964	21604
454	18003	21564
455	18043	21525
456	18083	21486
457	18122	21446
458	18161	21405
459	18200	21366
460	18240	21326
461	18278	21285
462	18318	21246
463	18357	21206
464	18396	21165
465	18436	21126
466	18475	21086
467	18515	21047
468	18554	21007
469	18593	20967
470	18633	20928
471	18672	20888
472	18711	20848
473	18750	20807
474	18789	20767
475	18829	20728
476	18867	20687
477	18906	20646
478	18946	20607
479	18985	20568
480	19025	20528
481	19064	20487
482	19103	20448
483	19142	20408
484	19181	20367
485	19221	20328
486	19260	20288
487	19299	20248
488	19339	20209
489	19378	20169
490	19420	20132
491	19459	20092
492	19499	20052
493	19542	20017
494	19586	19981
495	19624	19941
496	19664	19902
497	19703	19861
498	19743	19822
499	19783	19783
500	19822	19742
501	19861	19703
502	19902	19665
503	19943	19626
504	19982	19586
505	20022	19547
506	20062	19508
507	20101	19468
508	20139	19427
509	20179	19388
510	20219	19348
511	20257	19308
512	20297	19268
513	20336	19228
514	20376	19189
515	20418	19152
516	20457	19112
517	20496	19072
518	20536	19032
519	20576	18993
520	20615	18953
521	20655	18914
522	20694	18874
523	20734	18834
524	20774	18795
525	20814	18756
526	20853	18716
527	20892	18676
528	20932	18637
529	20971	18597
530	21010	18557
531	21048	18516
532	21087	18476
533	21126	18435
534	21163	18394
535	21201	18353
536	21239	18312
537	21277	18272
538	21316	18231
539	21354	18190
540	21393	18150
541	21432	18111
542	21471	18070
543	21509	18029
544	21547	17989
545	21586	17948
546	21624	17908
547	21663	17868
548	21700	17826
549	21739	17786
550	21776	17745
551	21814	17704
552	21853	17664
553	21892	17624
554	21931	17584
555	21970	17544
556	22009	17504
557	22047	17463
558	22086	17423
559	22124	17383
560	22162	17342
561	22200	17301
562	22237	17260
563	22275	17220
564	22313	17179
565	22352	17139
566	22390	17099
567	22430	17059
568	22469	17019
569	22507	16979
570	22545	16939
571	22585	16899
572	22624	16859
573	22663	16819
574	22702	16779
575	22741	16739
576	22779	16699
577	22818	16659
578	22856	16619
579	22895	16579
580	22934	16539
581	22972	16499
582	23010	16458
583	23049	16418
584	23086	16377
585	23133	16343
586	23190	16316
587	23250	16291
588	23296	16256
589	23334	16215
590	23373	16175
591	23416	16138
592	23454	16098
593	23492	16057
594	23532	16017
595	23572	15978
596	23611	15938
597	23651	15899
598	23691	15859
599	23731	15820
600	23780	15787
601	23840	15761
602	23891	15729
603	23933	15691
604	23973	15651
605	24013	15612
606	24051	15572
607	24091	15532
608	24131	15493
609	24170	15453
610	24210	15414
611	24258	15379
612	24319	15353
613	24384	15329
614	24427	15292
615	24466	15252
616	24506	15212
617	24545	15171
618	24584	15132
619	24623	15091
620	24663	15052
621	24702	15011
622	24741	14972
623	24781	14932
624	24821	14892
625	24875	14861
626	24941	14837
627	25001	14810
628	25041	14770
629	25081	14730
630	25120	14690
631	25160	14650
632	25199	14610
633	25239	14570
634	25278	14530
635	25318	14490
636	25357	14450
637	25401	14412
638	25440	14372
639	25479	14332
640	25518	14292
641	25559	14252
642	25599	14212
643	25647	14178
644	25717	14154
645	25772	14122
646	25811	14082
647	25850	14042
648	25894	14004
649	25934	13964
650	25974	13925
651	26013	13884
652	26053	13844
653	26092	13804
654	26132	13764
655	26172	13724
656	26212	13684
657	26251	13644
658	26290	13604
659	26329	13563
660	26368	13523
661	26409	13484
662	26448	13443
663	26488	13403
664	26528	13363
665	26566	13323
666	26606	13283
667	26645	13243
668	26685	13202
669	26724	13162
670	26764	13122
671	26803	13082
672	26842	13042
673	26882	13002
674	26923	12962
675	26962	12922
676	27001	12882
677	27041	12842
678	27101	12812
679	27158	12780
680	27205	12743
681	27244	12703
682	27283	12663
683	27323	12622
684	27361	12582
685	27404	12543
686	27444	12503
687	27483	12463
688	27522	12423
689	27561	12382
690	27600	12342
691	27639	12301
692	27678	12261
693	27716	12221
694	27756	12180
695	27796	12140
696	27840	12102
697	27881	12063
698	27923	12024
699	27964	11984
700	28010	11947
701	28054	11909
702	28097	11870
703	28139	11831
704	28180	11791
705	28221	11752
706	28261	11712
707	28301	11672
708	28342	11632
709	28383	11593
710	28424	11553
711	28465	11514
712	28505	11474
713	28545	11434
714	28585	11394
715	28625	11354
716	28665	11314
717	28706	11274
718	28746	11234
719	28785	11194
720	28826	11154
721	28867	11115
722	28909	11076
723	28951	11036
724	28992	10997
725	29032	10957
726	29072	10917
727	29113	10877
728	29154	10837
729	29194	10797
