iter	Logloss
0	0.6731453286
1	0.654240839
2	0.6367314881
3	0.6187875184
4	0.6037749716
5	0.5890132977
6	0.573561764
7	0.5569745533
8	0.5442846115
9	0.5306692553
10	0.5171958398
11	0.5049150033
12	0.4932759866
13	0.4804606523
14	0.4688235606
15	0.4572288561
16	0.448186124
17	0.4389296322
18	0.4284331276
19	0.4184678485
20	0.4081318327
21	0.399168904
22	0.390618178
23	0.3819019333
24	0.3753756965
25	0.3669510318
26	0.3598033279
27	0.3529985317
28	0.3462835079
29	0.3409424025
30	0.3334785369
31	0.3273249393
32	0.3204084734
33	0.3136972354
34	0.3075654321
35	0.3008094394
36	0.295134859
37	0.2904947179
38	0.2860311571
39	0.2804997659
40	0.2757845303
41	0.2704612903
42	0.2667068979
43	0.2628730777
44	0.2594782969
45	0.2559723069
46	0.2517953162
47	0.2490526384
48	0.2461683041
49	0.2427158406
50	0.2397505323
51	0.2366391713
52	0.2347092965
53	0.2313450203
54	0.2293108286
55	0.2266418728
56	0.2241608133
57	0.221071658
58	0.2187012915
59	0.2165469372
60	0.2139636011
61	0.2115515882
62	0.2090066994
63	0.2069056332
64	0.2047423012
65	0.2027734215
66	0.2002427111
67	0.1984486711
68	0.1964353797
69	0.1941738429
70	0.1925405296
71	0.1906893172
72	0.1889542226
73	0.1873169701
74	0.1856086202
75	0.1839312028
76	0.1823948931
77	0.1809811958
78	0.1799896304
79	0.1781198896
80	0.1770886583
81	0.1758786913
82	0.1744238652
83	0.172832107
84	0.1711710334
85	0.1700012622
86	0.1683678549
87	0.1662781016
88	0.1651628654
89	0.1642853637
90	0.1631118408
91	0.1618902635
92	0.160764011
93	0.1595481567
94	0.1579024305
95	0.156557071
96	0.155544588
97	0.1543543621
98	0.1534237123
99	0.1523079154
100	0.1513018432
101	0.1500305336
102	0.1486830628
103	0.1475958157
104	0.1465104499
105	0.1453681273
106	0.1444406671
107	0.1435991002
108	0.1428290327
109	0.1421812409
110	0.1410768089
111	0.1403066739
112	0.1394824879
113	0.1385983021
114	0.1376161146
115	0.1366254357
116	0.1358547111
117	0.1351526631
118	0.1342653932
119	0.1336780069
120	0.1330534646
121	0.1323598283
122	0.131378338
123	0.130643432
124	0.1296994985
125	0.1291297336
126	0.1284766276
127	0.1276669378
128	0.1269419195
129	0.1262958168
130	0.1255665106
131	0.1249209751
132	0.1243587064
133	0.1235723346
134	0.1232158034
135	0.1225531183
136	0.1219872292
137	0.1213434869
138	0.120676325
139	0.1202394109
140	0.1196258174
141	0.1189403969
142	0.1184079551
143	0.1178847878
144	0.1175348899
145	0.1170995804
146	0.1166172364
147	0.1159501521
148	0.1155357537
149	0.1146096099
150	0.1140529946
151	0.1136446501
152	0.1133644262
153	0.1124780103
154	0.1118123791
155	0.1114535935
156	0.1111043137
157	0.1107490127
158	0.1104306808
159	0.1101463597
160	0.109688015
161	0.1092739387
162	0.1088842482
163	0.1084058541
164	0.1079829989
165	0.1074378326
166	0.107035818
167	0.1064912119
168	0.1060434702
169	0.105789177
170	0.1054058547
171	0.1049640548
172	0.1045446786
173	0.1042588862
174	0.1040107141
175	0.1036473539
176	0.1030451534
177	0.1028315392
178	0.1024985102
179	0.1017884888
180	0.101408387
181	0.1009001243
182	0.1004426878
183	0.1000651507
184	0.09977612681
185	0.09918513775
186	0.09863062402
187	0.0984056698
188	0.09786442623
189	0.09754217025
190	0.09738481251
191	0.09724248988
192	0.09699327047
193	0.09669579957
194	0.09645008908
195	0.09614182366
196	0.09589134323
197	0.09561739242
198	0.09519793702
199	0.09473821026
200	0.09447742444
201	0.09416371329
202	0.09377431522
203	0.0934115808
204	0.09316315429
205	0.09272141781
206	0.09233356685
207	0.09182325272
208	0.09161579861
209	0.09129658413
210	0.09086317135
211	0.09062230669
212	0.09037697826
213	0.09012645461
214	0.08988130021
215	0.08954053484
216	0.08931366228
217	0.08900573938
218	0.0887386146
219	0.08837173841
220	0.08809369509
221	0.0876940974
222	0.08753263555
223	0.08731422514
224	0.08703657694
225	0.08668933678
226	0.08648762386
